Samples,FlowPattern,Vsl,Vsg,VisL,VisG,DenL,DenG,ST,Ang,ID,FPLabels
1,5,1,10,0.001,2.00E-05,1000,1.8,0.07,-5,0.051,I
2,3,0.063,10,0.001,2.00E-05,1000,1.8,0.07,-1,0.051,SW
3,5,0.03871,0.02371,0.001,2.00E-05,1000,1.8,0.07,-50,0.051,I
4,5,0.60856,10.2645,0.001,2.00E-05,1000,1.8,0.07,90,0.051,I
5,3,0.65654,1.04475,0.001,2.00E-05,1000,1.8,0.07,-70,0.025,SW
6,4,0.00239,37.8057,0.001,2.00E-05,1000,1.8,0.07,15,0.051,A
7,2,0.025,0.4,0.001,2.00E-05,1000,1.8,0.07,-1,0.025,SS
8,5,0.63,10,0.001,2.00E-05,1000,1.8,0.07,-1,0.025,I
9,4,0.02515,25.8636,0.001,2.00E-05,1000,1.8,0.07,-70,0.025,A
10,5,1,6.3,0.001,2.00E-05,1000,1.8,0.07,2,0.051,I
11,3,0.01002,15.9454,0.001,2.00E-05,1000,1.8,0.07,-30,0.025,SW
12,5,0.15178,6.27226,0.001,2.00E-05,1000,1.8,0.07,30,0.025,I
13,3,0.4105,0.15937,0.001,2.00E-05,1000,1.8,0.07,-80,0.051,SW
14,5,0.3982,15.0167,0.001,2.00E-05,1000,1.8,0.07,50,0.051,I
15,5,0.09601,0.06271,0.001,2.00E-05,1000,1.8,0.07,-50,0.025,I
16,4,0.09866,26.3961,0.001,2.00E-05,1000,1.8,0.07,20,0.025,A
17,4,0.00227,16.1939,0.001,2.00E-05,1000,1.8,0.07,80,0.051,A
18,3,0.27124,10.1394,0.001,2.00E-05,1000,1.8,0.07,-70,0.025,SW
19,3,0.67735,0.2409,0.001,2.00E-05,1000,1.8,0.07,-30,0.025,SW
20,3,0.02523,15.7019,0.001,2.00E-05,1000,1.8,0.07,-70,0.051,SW
21,5,0.01,0.4,0.001,2.00E-05,1000,1.8,0.07,2,0.051,I
22,5,0.00386,0.60805,0.001,2.00E-05,1000,1.8,0.07,-50,0.025,I
23,1,3.01711,0.58746,0.001,2.00E-05,1000,1.8,0.07,15,0.051,DB
24,5,0.63,6.3,0.001,2.00E-05,1000,1.8,0.07,0,0.051,I
25,4,0.25,16,0.001,2.00E-05,1000,1.8,0.07,0,0.051,A
26,5,0.09891,6.29522,0.001,2.00E-05,1000,1.8,0.07,-50,0.025,I
27,5,1.04747,2.45824,0.001,2.00E-05,1000,1.8,0.07,15,0.025,I
28,4,0.10005,41.6689,0.001,2.00E-05,1000,1.8,0.07,70,0.025,A
29,4,0.23621,9.97894,0.001,2.00E-05,1000,1.8,0.07,30,0.025,A
30,5,1.04811,0.15189,0.001,2.00E-05,1000,1.8,0.07,15,0.051,I
31,4,0.04,16,0.001,2.00E-05,1000,1.8,0.07,-5,0.025,A
32,5,0.01,0.25,0.001,2.00E-05,1000,1.8,0.07,0.5,0.025,I
33,5,0.00595,3.98785,0.001,2.00E-05,1000,1.8,0.07,70,0.051,I
34,3,0.16,4,0.001,2.00E-05,1000,1.8,0.07,-10,0.051,SW
35,5,0.4,0.4,0.001,2.00E-05,1000,1.8,0.07,0.5,0.051,I
36,5,1,1,0.001,2.00E-05,1000,1.8,0.07,0.25,0.025,I
37,5,2.52175,0.00982,0.001,2.00E-05,1000,1.8,0.07,20,0.025,I
38,5,2.5,4,0.001,2.00E-05,1000,1.8,0.07,0.5,0.025,I
39,5,2.5,10,0.001,2.00E-05,1000,1.8,0.07,0,0.051,I
40,5,2.5,1,0.001,2.00E-05,1000,1.8,0.07,-10,0.025,I
41,5,3.29429,0.97584,0.001,2.00E-05,1000,1.8,0.07,20,0.051,I
42,5,0.0391,9.72694,0.001,2.00E-05,1000,1.8,0.07,20,0.051,I
43,5,0.10248,0.01486,0.001,2.00E-05,1000,1.8,0.07,-50,0.051,I
44,5,0.98632,0.02148,0.001,2.00E-05,1000,1.8,0.07,-90,0.025,I
45,2,0.004,2.5,0.001,2.00E-05,1000,1.8,0.07,0,0.025,SS
46,3,0.10176,3.93247,0.001,2.00E-05,1000,1.8,0.07,-30,0.025,SW
47,5,0.01514,9.58176,0.001,2.00E-05,1000,1.8,0.07,50,0.051,I
48,5,0.37954,6.21872,0.001,2.00E-05,1000,1.8,0.07,70,0.025,I
49,7,0.38542,0.0982,0.001,2.00E-05,1000,1.8,0.07,80,0.051,B
50,1,4.03719,0.2427,0.001,2.00E-05,1000,1.8,0.07,-80,0.025,DB
51,5,0.025,6.3,0.001,2.00E-05,1000,1.8,0.07,5,0.051,I
52,4,0.15412,15.5701,0.001,2.00E-05,1000,1.8,0.07,-30,0.025,A
53,5,1.08902,0.25157,0.001,2.00E-05,1000,1.8,0.07,-90,0.051,I
54,5,0.006,0.1,0.001,2.00E-05,1000,1.8,0.07,10,0.025,I
55,2,0.006,0.04,0.001,2.00E-05,1000,1.8,0.07,0,0.025,SS
56,4,0.063,16,0.001,2.00E-05,1000,1.8,0.07,0.25,0.051,A
57,4,0.09754,23.9095,0.001,2.00E-05,1000,1.8,0.07,50,0.025,A
58,1,3.76494,0.65704,0.001,2.00E-05,1000,1.8,0.07,-90,0.051,DB
59,4,0.27666,24.1758,0.001,2.00E-05,1000,1.8,0.07,85,0.051,A
60,3,0.0063,6.3,0.001,2.00E-05,1000,1.8,0.07,0,0.051,SW
61,5,0.01,0.4,0.001,2.00E-05,1000,1.8,0.07,0.5,0.051,I
62,1,6.3,0.63,0.001,2.00E-05,1000,1.8,0.07,2,0.051,DB
63,3,0.0025,16,0.001,2.00E-05,1000,1.8,0.07,0.5,0.051,SW
64,5,2.5,2.5,0.001,2.00E-05,1000,1.8,0.07,-5,0.051,I
65,1,4,0.1,0.001,2.00E-05,1000,1.8,0.07,5,0.025,DB
66,5,1.59186,26.0845,0.001,2.00E-05,1000,1.8,0.07,-30,0.051,I
67,5,1.62486,0.15187,0.001,2.00E-05,1000,1.8,0.07,50,0.051,I
68,5,1.76713,6.56984,0.001,2.00E-05,1000,1.8,0.07,85,0.051,I
69,3,0.66006,4.09865,0.001,2.00E-05,1000,1.8,0.07,-70,0.025,SW
70,3,0.004,15,0.001,2.00E-05,1000,1.8,0.07,-10,0.025,SW
71,5,6.72414,0.00377,0.001,2.00E-05,1000,1.8,0.07,20,0.025,I
72,5,0.25,0.06,0.001,2.00E-05,1000,1.8,0.07,0,0.025,I
73,5,0.01,6,0.001,2.00E-05,1000,1.8,0.07,10,0.025,I
74,5,0.00876,9.77765,0.001,2.00E-05,1000,1.8,0.07,90,0.051,I
75,3,0.04,16,0.001,2.00E-05,1000,1.8,0.07,-5,0.051,SW
76,3,0.01,6.3,0.001,2.00E-05,1000,1.8,0.07,0.5,0.051,SW
77,5,0.63,6.3,0.001,2.00E-05,1000,1.8,0.07,-5,0.025,I
78,5,1.5,1,0.001,2.00E-05,1000,1.8,0.07,-10,0.025,I
79,3,1.01358,6.38926,0.001,2.00E-05,1000,1.8,0.07,-30,0.025,SW
80,5,1.53993,0.65112,0.001,2.00E-05,1000,1.8,0.07,80,0.051,I
81,5,0.01597,9.87882,0.001,2.00E-05,1000,1.8,0.07,70,0.051,I
82,3,2.5,0.4,0.001,2.00E-05,1000,1.8,0.07,-10,0.051,SW
83,4,0.1,15,0.001,2.00E-05,1000,1.8,0.07,-10,0.025,A
84,3,0.0025,6.3,0.001,2.00E-05,1000,1.8,0.07,0,0.051,SW
85,7,0.36698,0.09576,0.001,2.00E-05,1000,1.8,0.07,70,0.051,B
86,5,0.4,6.3,0.001,2.00E-05,1000,1.8,0.07,0,0.051,I
87,3,0.24513,0.01502,0.001,2.00E-05,1000,1.8,0.07,-30,0.051,SW
88,3,0.004,6.3,0.001,2.00E-05,1000,1.8,0.07,-5,0.051,SW
89,5,2.37004,4.25447,0.001,2.00E-05,1000,1.8,0.07,30,0.051,I
90,5,0.90351,9.79708,0.001,2.00E-05,1000,1.8,0.07,90,0.051,I
91,5,0.10587,0.62643,0.001,2.00E-05,1000,1.8,0.07,15,0.025,I
92,4,0.00219,8.72316,0.001,2.00E-05,1000,1.8,0.07,30,0.051,A
93,5,0.37882,0.24557,0.001,2.00E-05,1000,1.8,0.07,70,0.051,I
94,5,0.1,0.06,0.001,2.00E-05,1000,1.8,0.07,10,0.025,I
95,5,0.25,0.4,0.001,2.00E-05,1000,1.8,0.07,10,0.051,I
96,4,0.01295,15.1372,0.001,2.00E-05,1000,1.8,0.07,90,0.051,A
97,3,0.01,2.5,0.001,2.00E-05,1000,1.8,0.07,0.25,0.051,SW
98,4,0.016,25,0.001,2.00E-05,1000,1.8,0.07,-5,0.051,A
99,4,0.00262,1,0.001,2.00E-05,1000,1.8,0.07,-90,0.051,A
100,5,0.25,6.3,0.001,2.00E-05,1000,1.8,0.07,0.5,0.051,I
101,5,0.06,2.5,0.001,2.00E-05,1000,1.8,0.07,0.25,0.025,I
102,5,0.0063,0.25,0.001,2.00E-05,1000,1.8,0.07,2,0.025,I
103,3,0.063,10,0.001,2.00E-05,1000,1.8,0.07,-5,0.051,SW
104,5,0.01,6.3,0.001,2.00E-05,1000,1.8,0.07,5,0.051,I
105,4,0.10566,9.57839,0.001,2.00E-05,1000,1.8,0.07,90,0.025,A
106,5,1.00112,0.03924,0.001,2.00E-05,1000,1.8,0.07,15,0.025,I
107,5,0.09638,0.15207,0.001,2.00E-05,1000,1.8,0.07,90,0.051,I
108,5,1.6,0.16,0.001,2.00E-05,1000,1.8,0.07,1,0.025,I
109,5,1,25,0.001,2.00E-05,1000,1.8,0.07,2,0.025,I
110,4,0.00954,23.6014,0.001,2.00E-05,1000,1.8,0.07,15,0.051,A
111,5,0.01,1,0.001,2.00E-05,1000,1.8,0.07,2,0.051,I
112,3,0.25,2.5,0.001,2.00E-05,1000,1.8,0.07,-1,0.025,SW
113,1,3.76324,0.9448,0.001,2.00E-05,1000,1.8,0.07,50,0.051,DB
114,5,1.61939,0.1,0.001,2.00E-05,1000,1.8,0.07,15,0.025,I
115,4,0.02462,13.8237,0.001,2.00E-05,1000,1.8,0.07,-50,0.051,A
116,3,0.16189,16.076,0.001,2.00E-05,1000,1.8,0.07,-70,0.051,SW
