Samples,FlowPattern,Vsl,Vsg,VisL,VisG,DenL,DenG,ST,Ang,ID,FPLabels
1,3,0.40429,0.01677,0.001,2.00E-05,1000,1.8,0.07,-70,0.025,SW
2,3,0.63,4,0.001,2.00E-05,1000,1.8,0.07,-5,0.051,SW
3,5,4,0.63,0.001,2.00E-05,1000,1.8,0.07,5,0.051,I
4,4,0.41059,10.3191,0.001,2.00E-05,1000,1.8,0.07,-80,0.025,A
5,5,0.0025,2.5,0.001,2.00E-05,1000,1.8,0.07,5,0.051,I
6,3,0.025,10,0.001,2.00E-05,1000,1.8,0.07,1,0.025,SW
7,5,0.01026,0.37518,0.001,2.00E-05,1000,1.8,0.07,85,0.051,I
8,4,0.1508,15.8004,0.001,2.00E-05,1000,1.8,0.07,50,0.025,A
9,5,0.03752,0.16588,0.001,2.00E-05,1000,1.8,0.07,80,0.051,I
10,3,0.63,0.063,0.001,2.00E-05,1000,1.8,0.07,-1,0.051,SW
11,3,0.025,16,0.001,2.00E-05,1000,1.8,0.07,0,0.051,SW
12,3,0.0042,0.0154,0.001,2.00E-05,1000,1.8,0.07,-30,0.025,SW
13,1,2.5641,0.08848,0.001,2.00E-05,1000,1.8,0.07,-50,0.025,DB
14,5,0.04,10,0.001,2.00E-05,1000,1.8,0.07,10,0.051,I
15,5,3.22375,0.61665,0.001,2.00E-05,1000,1.8,0.07,20,0.051,I
16,5,0.006,0.03997,0.001,2.00E-05,1000,1.8,0.07,0.5,0.025,I
17,5,2.5,0.1,0.001,2.00E-05,1000,1.8,0.07,-10,0.025,I
18,5,0.62767,2.46239,0.001,2.00E-05,1000,1.8,0.07,50,0.051,I
19,4,0.00253,14.3301,0.001,2.00E-05,1000,1.8,0.07,-50,0.051,A
20,4,0.006,40,0.001,2.00E-05,1000,1.8,0.07,0,0.025,A
21,4,0.03989,9.52872,0.001,2.00E-05,1000,1.8,0.07,90,0.025,A
22,3,0.004,6.3,0.001,2.00E-05,1000,1.8,0.07,0.5,0.051,SW
