Samples,FlowPattern,Vsl,Vsg,VisL,VisG,DenL,DenG,ST,Ang,ID,FPLabels
1,1,6.3,0.025,0.001,0.00002,1000,1.8,0.07,0,0.051,DB
2,1,4,0.04,0.001,0.00002,1000,1.8,0.07,0,0.051,DB
3,1,6.3,0.04,0.001,0.00002,1000,1.8,0.07,0,0.051,DB
4,1,4,0.063,0.001,0.00002,1000,1.8,0.07,0,0.051,DB
5,1,6.3,0.063,0.001,0.00002,1000,1.8,0.07,0,0.051,DB
6,1,4,0.1,0.001,0.00002,1000,1.8,0.07,0,0.051,DB
7,1,6.3,0.1,0.001,0.00002,1000,1.8,0.07,0,0.051,DB
8,1,4,0.16,0.001,0.00002,1000,1.8,0.07,0,0.051,DB
9,1,6.3,0.16,0.001,0.00002,1000,1.8,0.07,0,0.051,DB
10,1,4,0.4,0.001,0.00002,1000,1.8,0.07,0,0.051,DB
11,1,6.3,0.4,0.001,0.00002,1000,1.8,0.07,0,0.051,DB
12,1,4,0.63,0.001,0.00002,1000,1.8,0.07,0,0.051,DB
13,1,6.3,0.63,0.001,0.00002,1000,1.8,0.07,0,0.051,DB
14,1,4,1,0.001,0.00002,1000,1.8,0.07,0,0.051,DB
15,1,6.3,1,0.001,0.00002,1000,1.8,0.07,0,0.051,DB
16,1,4,1.6,0.001,0.00002,1000,1.8,0.07,0,0.051,DB
17,1,6.3,1.6,0.001,0.00002,1000,1.8,0.07,0,0.051,DB
18,1,6.3,2.5,0.001,0.00002,1000,1.8,0.07,0,0.051,DB
19,1,6.3,4,0.001,0.00002,1000,1.8,0.07,0,0.051,DB
20,1,6.3,6.3,0.001,0.00002,1000,1.8,0.07,0,0.051,DB
21,2,0.0025,0.025,0.001,0.00002,1000,1.8,0.07,0,0.051,SS
22,2,0.0063,0.025,0.001,0.00002,1000,1.8,0.07,0,0.051,SS
23,2,0.01,0.025,0.001,0.00002,1000,1.8,0.07,0,0.051,SS
24,2,0.025,0.025,0.001,0.00002,1000,1.8,0.07,0,0.051,SS
25,2,0.04,0.025,0.001,0.00002,1000,1.8,0.07,0,0.051,SS
26,2,0.063,0.025,0.001,0.00002,1000,1.8,0.07,0,0.051,SS
27,2,0.1,0.025,0.001,0.00002,1000,1.8,0.07,0,0.051,SS
28,2,0.16,0.025,0.001,0.00002,1000,1.8,0.07,0,0.051,SS
29,2,0.0025,0.1,0.001,0.00002,1000,1.8,0.07,0,0.051,SS
30,2,0.0063,0.1,0.001,0.00002,1000,1.8,0.07,0,0.051,SS
31,2,0.01,0.1,0.001,0.00002,1000,1.8,0.07,0,0.051,SS
32,2,0.025,0.1,0.001,0.00002,1000,1.8,0.07,0,0.051,SS
33,2,0.04,0.1,0.001,0.00002,1000,1.8,0.07,0,0.051,SS
34,2,0.063,0.1,0.001,0.00002,1000,1.8,0.07,0,0.051,SS
35,2,0.1,0.1,0.001,0.00002,1000,1.8,0.07,0,0.051,SS
36,2,0.16,0.1,0.001,0.00002,1000,1.8,0.07,0,0.051,SS
37,2,0.0025,0.4,0.001,0.00002,1000,1.8,0.07,0,0.051,SS
38,2,0.0063,0.4,0.001,0.00002,1000,1.8,0.07,0,0.051,SS
39,2,0.01,0.4,0.001,0.00002,1000,1.8,0.07,0,0.051,SS
40,2,0.025,0.4,0.001,0.00002,1000,1.8,0.07,0,0.051,SS
41,2,0.04,0.4,0.001,0.00002,1000,1.8,0.07,0,0.051,SS
42,2,0.063,0.4,0.001,0.00002,1000,1.8,0.07,0,0.051,SS
43,2,0.1,0.4,0.001,0.00002,1000,1.8,0.07,0,0.051,SS
44,2,0.16,0.4,0.001,0.00002,1000,1.8,0.07,0,0.051,SS
45,2,0.0025,0.63,0.001,0.00002,1000,1.8,0.07,0,0.051,SS
46,2,0.01,0.63,0.001,0.00002,1000,1.8,0.07,0,0.051,SS
47,2,0.025,0.63,0.001,0.00002,1000,1.8,0.07,0,0.051,SS
48,2,0.04,0.63,0.001,0.00002,1000,1.8,0.07,0,0.051,SS
49,2,0.063,0.63,0.001,0.00002,1000,1.8,0.07,0,0.051,SS
50,2,0.1,0.63,0.001,0.00002,1000,1.8,0.07,0,0.051,SS
